<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20211215;080000;319.6500000;322.3500000;318.4800000;320.9500000;3539430
GAZP;60;20211215;090000;320.9500000;324.0000000;320.1400000;322.4500000;3665950
GAZP;60;20211215;100000;322.4600000;323.4000000;321.3600000;322.8400000;3023610
GAZP;60;20211215;110000;322.8400000;323.5800000;318.6400000;319.7200000;8667910
GAZP;60;20211215;120000;319.7200000;323.5000000;319.5900000;321.5700000;8813200
GAZP;60;20211215;130000;321.4100000;322.4000000;321.2000000;321.4700000;4191370
GAZP;60;20211215;140000;321.4800000;321.9400000;320.9200000;321.7300000;4980460
GAZP;60;20211215;150000;321.7800000;322.0000000;321.0000000;321.6000000;2448820
GAZP;60;20211215;160000;321.6200000;321.8000000;320.2300000;320.2900000;3757870
GAZP;60;20211215;170000;320.3500000;322.7200000;319.6500000;321.5000000;9089470
GAZP;60;20211215;180000;321.4700000;322.9700000;318.5400000;319.6000000;6534230
GAZP;60;20211215;190000;319.5700000;319.5700000;316.5000000;319.0900000;7368630
GAZP;60;20211215;200000;319.2000000;320.4900000;318.3500000;320.4400000;2084520
GAZP;60;20211215;210000;320.4600000;320.9900000;319.5100000;320.5100000;1213560
GAZP;60;20211215;220000;320.5100000;320.7000000;319.7500000;320.6000000;738810
GAZP;60;20211215;230000;320.6000000;322.5500000;319.8300000;321.5000000;4772670
GAZP;60;20211216;000000;321.5000000;325.8300000;321.5000000;324.0900000;4852310
